x,y
0.687363,0.471866
0.353325,0.242714
0.130052,0.603099
0.609041,0.397046
0.581385,0.697011
0.896584,0.580172
0.226491,0.183143
0.305747,0.111027
0.523765,0.530133
0.879776,0.915756
0.894385,0.743691
0.642418,0.53022
0.263538,0.525636
0.8079,0.175467
0.492176,0.227497
0.808316,0.325059
0.149351,0.354846
0.357488,0.0160672
0.232013,0.813952
0.383289,0.617996
0.0406111,0.273548
0.146576,0.445759
0.117717,0.383882
0.0196939,0.675159
0.1925,0.383678
0.310016,0.338478
0.134317,0.141796
0.907295,0.239341
0.0339156,0.872918
0.209509,0.2751
0.20072,0.714338
0.781929,0.924478
0.537021,0.643728
0.989428,0.928712
0.333921,0.420692
0.71977,0.619971
0.934792,0.0842757
0.633855,0.795144
0.587435,0.261595
0.747533,0.467579
0.622858,0.299827
0.875184,0.729882
0.560402,0.416983
0.62904,0.960795
0.476711,0.608369
0.349642,0.177247
0.273282,0.308817
0.160073,0.503732
0.577532,0.229231
0.281142,0.477634
0.320972,0.191497
0.477163,0.395969
0.00755321,0.486495
0.93065,0.834243
0.822573,0.171775
0.16616,0.185023
0.778372,0.598034
0.294708,0.60939
0.675591,0.328528
0.904721,0.308605
0.98533,0.0184276
0.815646,0.595043
0.451929,0.802105
0.958927,0.514293
0.430687,0.0729317
0.499228,0.713203
0.0615617,0.849159
0.134038,0.125724
0.366563,0.469283
0.12225,0.909583
0.224634,0.125387
0.343471,0.848744
0.668538,0.535452
0.85981,0.0192314
0.976295,0.625771
0.178552,0.653658
0.529757,0.444084
0.499322,0.140671
0.262229,0.120452
0.853093,0.935088
0.128483,0.116823
0.594505,0.969349
0.315103,0.395413
0.133693,0.0455674
0.298539,0.75821
0.493401,0.674941
0.956473,0.146618
0.662163,0.685273
0.413526,0.00715691
0.0411226,0.487777
0.932473,0.0784707
0.390842,0.97921
0.797791,0.607035
0.102848,0.609521
0.813172,0.279372
0.753936,0.09537
0.260346,0.916844
0.628824,0.0469036
0.989437,0.16824
0.276324,0.995698
0.629725,0.737156
0.764621,0.747011
0.896203,0.107691
0.852426,0.226465
0.943289,0.296184
0.575388,0.43646
0.201618,0.354413
0.274293,0.510821
0.174909,0.71025
0.0847399,0.106463
0.870695,0.447489
0.574775,0.822128
0.149007,0.998915
0.863443,0.404104
0.871713,0.539765
0.723618,0.653751
0.420657,0.157682
0.327733,0.834513
0.0691505,0.976447
0.799781,0.33772
0.339976,0.647598
0.640873,0.861061
0.0677959,0.634666
0.0693492,0.57063
0.735976,0.915465
0.565147,0.408311
0.11166,0.679498
0.912497,0.650876
0.389997,0.343085
0.179625,0.12501
0.788253,0.665916
0.832343,0.0215741
0.990877,0.671904
0.899601,0.0965202
0.701664,0.0810968
0.322401,0.759404
0.397497,0.917909
0.942481,0.948439
0.272838,0.133303
0.352515,0.775973
0.407702,0.407273
0.839753,0.579657
0.0515792,0.0864733
0.578256,0.798571
0.129371,0.320516
0.568151,0.273716
0.32945,0.81352
0.378799,0.555604
0.260982,0.305561
0.197159,0.291325
0.464541,0.700995
0.259202,0.655992
0.574488,0.158527
0.964733,0.207507
0.904234,0.766911
0.642621,0.0772658
0.654031,0.800406
0.0566977,0.326897
0.0835934,0.994383
0.0277451,0.143015
0.597039,0.936842
0.939068,0.391061
0.566745,0.231009
0.210833,0.831979
0.230067,0.668542
0.66399,0.177251
0.125888,0.730364
0.229157,0.91131
0.666955,0.0740023
0.920215,0.750516
0.2644,0.451594
0.65267,0.471727
0.180203,0.965791
0.484059,0.908396
0.573984,0.496606
0.911746,0.170103
0.035661,0.780375
